model_seed,metric,angle_a,angle_b,factor_gap,category,distance
4,bures,-15.0,15.0,30.0,near,0.10903271354613646
4,bures,-15.0,30.0,45.0,mid,0.12510312641492335
4,bures,-15.0,45.0,60.0,mid,0.0995385718393509
4,bures,-15.0,60.0,75.0,mid,0.1126806615773962
4,bures,-15.0,75.0,90.0,far,0.13543517097418914
4,bures,0.0,15.0,15.0,near,0.056501715070717384
4,bures,0.0,30.0,30.0,near,0.08483502955040732
4,bures,0.0,45.0,45.0,mid,0.07928965098808098
4,bures,0.0,60.0,60.0,mid,0.10329410601806287
4,bures,0.0,75.0,75.0,mid,0.1377516576451977
4,bures,15.0,30.0,15.0,near,0.04448867658060638
4,bures,15.0,45.0,30.0,near,0.07127592758467455
4,bures,15.0,60.0,45.0,mid,0.11426353596545528
4,bures,15.0,75.0,60.0,mid,0.16540419676211016
4,bures,30.0,45.0,15.0,near,0.0593581603600451
4,bures,30.0,60.0,30.0,near,0.13007878556862798
4,bures,30.0,75.0,45.0,mid,0.19613531514811897
4,bures,45.0,60.0,15.0,near,0.08766770726952734
4,bures,45.0,75.0,30.0,near,0.16168751114008464
4,bures,60.0,75.0,15.0,near,0.08773281487340037
4,centroid_plus_log_euclidean,-75.0,-60.0,15.0,near,0.6563875803922358
4,centroid_plus_log_euclidean,-75.0,-45.0,30.0,near,1.5315207991556006
4,centroid_plus_log_euclidean,-75.0,-30.0,45.0,mid,2.2646917670229163
4,centroid_plus_log_euclidean,-75.0,-15.0,60.0,mid,2.295530369769568
4,centroid_plus_log_euclidean,-75.0,0.0,75.0,mid,2.231705234560023
4,centroid_plus_log_euclidean,-75.0,15.0,90.0,far,2.1438428185111693
4,centroid_plus_log_euclidean,-75.0,30.0,105.0,far,2.04962040506065
4,centroid_plus_log_euclidean,-75.0,45.0,120.0,far,1.6295917332924734
4,centroid_plus_log_euclidean,-75.0,60.0,135.0,far,1.0758356403727176
4,centroid_plus_log_euclidean,-75.0,75.0,150.0,far,0.7521913968841174
4,centroid_plus_log_euclidean,-60.0,-45.0,15.0,near,0.9932253459282607
4,centroid_plus_log_euclidean,-60.0,-30.0,30.0,near,1.8810424461362723
4,centroid_plus_log_euclidean,-60.0,-15.0,45.0,mid,2.092586678340348
4,centroid_plus_log_euclidean,-60.0,0.0,60.0,mid,2.1870361624735812
4,centroid_plus_log_euclidean,-60.0,15.0,75.0,mid,2.154852217874045
4,centroid_plus_log_euclidean,-60.0,30.0,90.0,far,2.0124603165844444
4,centroid_plus_log_euclidean,-60.0,45.0,105.0,far,1.5339818313175548
4,centroid_plus_log_euclidean,-60.0,60.0,120.0,far,1.035814974024143
4,centroid_plus_log_euclidean,-60.0,75.0,135.0,far,0.8130558151677174
4,centroid_plus_log_euclidean,-45.0,-30.0,15.0,near,1.077150952163862
4,centroid_plus_log_euclidean,-45.0,-15.0,30.0,near,1.6526024784733537
4,centroid_plus_log_euclidean,-45.0,0.0,45.0,mid,1.9709570705920672
4,centroid_plus_log_euclidean,-45.0,15.0,60.0,mid,2.0320754248492534
4,centroid_plus_log_euclidean,-45.0,30.0,75.0,mid,1.8627075847375538
4,centroid_plus_log_euclidean,-45.0,45.0,90.0,far,1.4652086033931184
4,centroid_plus_log_euclidean,-45.0,60.0,105.0,far,1.4200107132723616
4,centroid_plus_log_euclidean,-45.0,75.0,120.0,far,1.4868573899720658
4,centroid_plus_log_euclidean,-30.0,-15.0,15.0,near,0.8199864962574341
4,centroid_plus_log_euclidean,-30.0,0.0,30.0,near,1.2648570274987145
4,centroid_plus_log_euclidean,-30.0,15.0,45.0,mid,1.4021111810584552
4,centroid_plus_log_euclidean,-30.0,30.0,60.0,mid,1.3993226895494788
4,centroid_plus_log_euclidean,-30.0,45.0,75.0,mid,1.4257877159188999
4,centroid_plus_log_euclidean,-30.0,60.0,90.0,far,1.8164987398551187
4,centroid_plus_log_euclidean,-30.0,75.0,105.0,far,2.0586509485702
4,centroid_plus_log_euclidean,-15.0,0.0,15.0,near,0.4994436678992733
4,centroid_plus_log_euclidean,-15.0,15.0,30.0,near,0.7463068276415222
4,centroid_plus_log_euclidean,-15.0,30.0,45.0,mid,1.0087613447469652
4,centroid_plus_log_euclidean,-15.0,45.0,60.0,mid,1.3387321177086964
4,centroid_plus_log_euclidean,-15.0,60.0,75.0,mid,1.8008766224921213
4,centroid_plus_log_euclidean,-15.0,75.0,90.0,far,2.043279010166747
4,centroid_plus_log_euclidean,0.0,15.0,15.0,near,0.37529960621800945
4,centroid_plus_log_euclidean,0.0,30.0,30.0,near,0.8054103937882279
4,centroid_plus_log_euclidean,0.0,45.0,45.0,mid,1.326816236298854
4,centroid_plus_log_euclidean,0.0,60.0,60.0,mid,1.7626294633137105
4,centroid_plus_log_euclidean,0.0,75.0,75.0,mid,2.0171203678109544
4,centroid_plus_log_euclidean,15.0,30.0,15.0,near,0.5337703489138304
4,centroid_plus_log_euclidean,15.0,45.0,30.0,near,1.1948075359279329
4,centroid_plus_log_euclidean,15.0,60.0,45.0,mid,1.6463930405343534
4,centroid_plus_log_euclidean,15.0,75.0,60.0,mid,1.960415620591076
4,centroid_plus_log_euclidean,30.0,45.0,15.0,near,0.7680674547182724
4,centroid_plus_log_euclidean,30.0,60.0,30.0,near,1.3703076104606378
4,centroid_plus_log_euclidean,30.0,75.0,45.0,mid,1.781305857830212
4,centroid_plus_log_euclidean,45.0,60.0,15.0,near,0.7635181808504907
4,centroid_plus_log_euclidean,45.0,75.0,30.0,near,1.228997269733763
4,centroid_plus_log_euclidean,60.0,75.0,15.0,near,0.5420173306090398
